EPOCH=001,Accuracy= 58.990%
EPOCH=002,Accuracy= 69.470%
EPOCH=003,Accuracy= 73.800%
EPOCH=004,Accuracy= 75.320%
EPOCH=005,Accuracy= 78.020%
EPOCH=006,Accuracy= 80.640%
EPOCH=007,Accuracy= 80.810%
EPOCH=008,Accuracy= 82.720%
EPOCH=009,Accuracy= 80.820%
EPOCH=010,Accuracy= 84.130%
EPOCH=011,Accuracy= 84.340%
EPOCH=012,Accuracy= 84.750%
EPOCH=013,Accuracy= 86.080%
EPOCH=014,Accuracy= 87.270%
EPOCH=015,Accuracy= 82.160%
EPOCH=016,Accuracy= 86.740%
EPOCH=017,Accuracy= 86.660%
EPOCH=018,Accuracy= 87.520%
EPOCH=019,Accuracy= 87.330%
EPOCH=020,Accuracy= 88.370%
EPOCH=021,Accuracy= 87.150%
EPOCH=022,Accuracy= 87.500%
EPOCH=023,Accuracy= 88.900%
EPOCH=024,Accuracy= 87.250%
EPOCH=025,Accuracy= 88.660%
EPOCH=026,Accuracy= 89.620%
EPOCH=027,Accuracy= 89.970%
EPOCH=028,Accuracy= 89.480%
EPOCH=029,Accuracy= 88.470%
EPOCH=030,Accuracy= 90.270%
EPOCH=031,Accuracy= 90.290%
EPOCH=032,Accuracy= 89.010%
EPOCH=033,Accuracy= 89.860%
EPOCH=034,Accuracy= 87.960%
EPOCH=035,Accuracy= 89.890%
EPOCH=036,Accuracy= 90.050%
EPOCH=037,Accuracy= 90.710%
EPOCH=038,Accuracy= 91.170%
EPOCH=039,Accuracy= 90.520%
EPOCH=040,Accuracy= 91.300%
EPOCH=041,Accuracy= 90.850%
EPOCH=042,Accuracy= 90.300%
EPOCH=043,Accuracy= 90.000%
EPOCH=044,Accuracy= 90.850%
EPOCH=045,Accuracy= 91.570%
EPOCH=046,Accuracy= 90.240%
EPOCH=047,Accuracy= 91.090%
EPOCH=048,Accuracy= 92.180%
EPOCH=049,Accuracy= 90.970%
EPOCH=050,Accuracy= 91.580%
EPOCH=051,Accuracy= 91.820%
EPOCH=052,Accuracy= 90.170%
EPOCH=053,Accuracy= 91.380%
EPOCH=054,Accuracy= 91.340%
EPOCH=055,Accuracy= 91.340%
EPOCH=056,Accuracy= 90.170%
EPOCH=057,Accuracy= 91.940%
EPOCH=058,Accuracy= 91.920%
EPOCH=059,Accuracy= 91.150%
EPOCH=060,Accuracy= 91.280%
EPOCH=061,Accuracy= 91.800%
EPOCH=062,Accuracy= 91.760%
EPOCH=063,Accuracy= 92.210%
EPOCH=064,Accuracy= 91.650%
EPOCH=065,Accuracy= 91.340%
EPOCH=066,Accuracy= 91.590%
EPOCH=067,Accuracy= 90.470%
EPOCH=068,Accuracy= 91.660%
EPOCH=069,Accuracy= 90.410%
EPOCH=070,Accuracy= 92.350%
EPOCH=071,Accuracy= 92.490%
EPOCH=072,Accuracy= 92.070%
EPOCH=073,Accuracy= 92.040%
EPOCH=074,Accuracy= 92.810%
EPOCH=075,Accuracy= 92.960%
EPOCH=076,Accuracy= 92.380%
EPOCH=077,Accuracy= 92.040%
EPOCH=078,Accuracy= 91.230%
EPOCH=079,Accuracy= 92.560%
EPOCH=080,Accuracy= 91.830%
EPOCH=081,Accuracy= 92.970%
EPOCH=082,Accuracy= 92.320%
EPOCH=083,Accuracy= 92.250%
EPOCH=084,Accuracy= 93.280%
EPOCH=085,Accuracy= 92.140%
EPOCH=086,Accuracy= 91.750%
EPOCH=087,Accuracy= 92.770%
EPOCH=088,Accuracy= 91.600%
EPOCH=089,Accuracy= 93.450%
EPOCH=090,Accuracy= 92.270%
EPOCH=091,Accuracy= 92.980%
EPOCH=092,Accuracy= 92.660%
EPOCH=093,Accuracy= 93.290%
EPOCH=094,Accuracy= 93.090%
EPOCH=095,Accuracy= 92.660%
EPOCH=096,Accuracy= 93.140%
EPOCH=097,Accuracy= 93.290%
EPOCH=098,Accuracy= 91.500%
EPOCH=099,Accuracy= 93.130%
EPOCH=100,Accuracy= 92.350%
EPOCH=101,Accuracy= 92.740%
EPOCH=102,Accuracy= 92.670%
EPOCH=103,Accuracy= 93.240%
EPOCH=104,Accuracy= 92.010%
EPOCH=105,Accuracy= 92.830%
EPOCH=106,Accuracy= 92.810%
EPOCH=107,Accuracy= 93.500%
EPOCH=108,Accuracy= 91.710%
EPOCH=109,Accuracy= 92.530%
EPOCH=110,Accuracy= 93.230%
