EPOCH=001,Accuracy= 59.700%
EPOCH=002,Accuracy= 67.790%
EPOCH=003,Accuracy= 74.460%
EPOCH=004,Accuracy= 74.940%
EPOCH=005,Accuracy= 80.630%
EPOCH=006,Accuracy= 81.520%
EPOCH=007,Accuracy= 80.750%
EPOCH=008,Accuracy= 84.050%
EPOCH=009,Accuracy= 83.360%
EPOCH=010,Accuracy= 85.340%
EPOCH=011,Accuracy= 85.900%
EPOCH=012,Accuracy= 81.860%
EPOCH=013,Accuracy= 84.490%
EPOCH=014,Accuracy= 85.580%
EPOCH=015,Accuracy= 86.870%
EPOCH=016,Accuracy= 87.280%
EPOCH=017,Accuracy= 88.030%
EPOCH=018,Accuracy= 87.660%
EPOCH=019,Accuracy= 88.140%
EPOCH=020,Accuracy= 84.120%
EPOCH=021,Accuracy= 88.850%
EPOCH=022,Accuracy= 88.060%
EPOCH=023,Accuracy= 86.710%
EPOCH=024,Accuracy= 88.460%
EPOCH=025,Accuracy= 87.760%
EPOCH=026,Accuracy= 89.080%
EPOCH=027,Accuracy= 88.910%
EPOCH=028,Accuracy= 88.900%
EPOCH=029,Accuracy= 89.560%
EPOCH=030,Accuracy= 89.790%
EPOCH=031,Accuracy= 90.650%
EPOCH=032,Accuracy= 88.700%
EPOCH=033,Accuracy= 88.590%
EPOCH=034,Accuracy= 89.410%
EPOCH=035,Accuracy= 90.090%
EPOCH=036,Accuracy= 89.190%
EPOCH=037,Accuracy= 89.700%
EPOCH=038,Accuracy= 90.140%
EPOCH=039,Accuracy= 88.540%
EPOCH=040,Accuracy= 90.290%
EPOCH=041,Accuracy= 90.240%
EPOCH=042,Accuracy= 90.040%
EPOCH=043,Accuracy= 90.510%
EPOCH=044,Accuracy= 90.690%
EPOCH=045,Accuracy= 90.310%
EPOCH=046,Accuracy= 90.600%
EPOCH=047,Accuracy= 90.350%
EPOCH=048,Accuracy= 90.570%
EPOCH=049,Accuracy= 90.180%
EPOCH=050,Accuracy= 91.010%
EPOCH=051,Accuracy= 90.510%
EPOCH=052,Accuracy= 90.090%
EPOCH=053,Accuracy= 89.810%
EPOCH=054,Accuracy= 90.560%
EPOCH=055,Accuracy= 91.410%
EPOCH=056,Accuracy= 91.080%
EPOCH=057,Accuracy= 91.630%
EPOCH=058,Accuracy= 90.790%
EPOCH=059,Accuracy= 90.960%
EPOCH=060,Accuracy= 90.930%
EPOCH=061,Accuracy= 90.820%
EPOCH=062,Accuracy= 90.250%
EPOCH=063,Accuracy= 91.270%
EPOCH=064,Accuracy= 90.840%
EPOCH=065,Accuracy= 90.740%
EPOCH=066,Accuracy= 91.440%
EPOCH=067,Accuracy= 91.450%
EPOCH=068,Accuracy= 91.620%
EPOCH=069,Accuracy= 90.900%
EPOCH=070,Accuracy= 91.960%
EPOCH=071,Accuracy= 91.810%
EPOCH=072,Accuracy= 90.480%
EPOCH=073,Accuracy= 91.100%
EPOCH=074,Accuracy= 90.890%
EPOCH=075,Accuracy= 90.950%
EPOCH=076,Accuracy= 91.560%
EPOCH=077,Accuracy= 91.610%
EPOCH=078,Accuracy= 91.500%
EPOCH=079,Accuracy= 91.270%
EPOCH=080,Accuracy= 91.510%
EPOCH=081,Accuracy= 91.740%
EPOCH=082,Accuracy= 90.660%
EPOCH=083,Accuracy= 91.400%
EPOCH=084,Accuracy= 91.400%
EPOCH=085,Accuracy= 91.510%
EPOCH=086,Accuracy= 91.790%
EPOCH=087,Accuracy= 90.810%
EPOCH=088,Accuracy= 91.300%
EPOCH=089,Accuracy= 91.500%
EPOCH=090,Accuracy= 91.830%
EPOCH=091,Accuracy= 91.320%
EPOCH=092,Accuracy= 91.610%
EPOCH=093,Accuracy= 91.660%
EPOCH=094,Accuracy= 91.410%
EPOCH=095,Accuracy= 91.520%
EPOCH=096,Accuracy= 91.540%
EPOCH=097,Accuracy= 90.980%
EPOCH=098,Accuracy= 91.660%
EPOCH=099,Accuracy= 90.400%
EPOCH=100,Accuracy= 91.790%
EPOCH=101,Accuracy= 91.030%
EPOCH=102,Accuracy= 91.770%
EPOCH=103,Accuracy= 91.790%
EPOCH=104,Accuracy= 91.400%
EPOCH=105,Accuracy= 91.700%
EPOCH=106,Accuracy= 91.620%
EPOCH=107,Accuracy= 91.620%
EPOCH=108,Accuracy= 91.300%
EPOCH=109,Accuracy= 90.880%
EPOCH=110,Accuracy= 92.080%
