EPOCH=001,Accuracy= 50.510%
EPOCH=002,Accuracy= 59.190%
EPOCH=003,Accuracy= 68.310%
EPOCH=004,Accuracy= 75.880%
EPOCH=005,Accuracy= 76.310%
EPOCH=006,Accuracy= 76.330%
EPOCH=007,Accuracy= 80.700%
EPOCH=008,Accuracy= 80.640%
EPOCH=009,Accuracy= 81.490%
EPOCH=010,Accuracy= 82.760%
EPOCH=011,Accuracy= 82.600%
EPOCH=012,Accuracy= 83.190%
EPOCH=013,Accuracy= 82.580%
EPOCH=014,Accuracy= 85.220%
EPOCH=015,Accuracy= 84.830%
EPOCH=016,Accuracy= 84.320%
EPOCH=017,Accuracy= 86.010%
EPOCH=018,Accuracy= 86.190%
EPOCH=019,Accuracy= 85.280%
EPOCH=020,Accuracy= 86.400%
EPOCH=021,Accuracy= 87.190%
EPOCH=022,Accuracy= 85.620%
EPOCH=023,Accuracy= 88.060%
EPOCH=024,Accuracy= 86.290%
EPOCH=025,Accuracy= 88.460%
EPOCH=026,Accuracy= 86.960%
EPOCH=027,Accuracy= 86.550%
EPOCH=028,Accuracy= 88.830%
EPOCH=029,Accuracy= 87.880%
EPOCH=030,Accuracy= 88.850%
EPOCH=031,Accuracy= 88.670%
EPOCH=032,Accuracy= 90.290%
EPOCH=033,Accuracy= 89.730%
EPOCH=034,Accuracy= 89.610%
EPOCH=035,Accuracy= 89.500%
EPOCH=036,Accuracy= 89.990%
EPOCH=037,Accuracy= 90.360%
EPOCH=038,Accuracy= 91.070%
EPOCH=039,Accuracy= 90.720%
EPOCH=040,Accuracy= 88.910%
EPOCH=041,Accuracy= 90.560%
EPOCH=042,Accuracy= 88.970%
EPOCH=043,Accuracy= 90.160%
EPOCH=044,Accuracy= 90.050%
EPOCH=045,Accuracy= 91.110%
EPOCH=046,Accuracy= 90.080%
EPOCH=047,Accuracy= 90.710%
EPOCH=048,Accuracy= 89.660%
EPOCH=049,Accuracy= 90.940%
EPOCH=050,Accuracy= 91.590%
EPOCH=051,Accuracy= 90.870%
EPOCH=052,Accuracy= 90.570%
EPOCH=053,Accuracy= 91.170%
EPOCH=054,Accuracy= 91.750%
EPOCH=055,Accuracy= 90.720%
EPOCH=056,Accuracy= 91.160%
EPOCH=057,Accuracy= 91.900%
EPOCH=058,Accuracy= 90.220%
EPOCH=059,Accuracy= 92.150%
EPOCH=060,Accuracy= 91.860%
EPOCH=061,Accuracy= 90.920%
EPOCH=062,Accuracy= 91.820%
EPOCH=063,Accuracy= 91.860%
EPOCH=064,Accuracy= 89.910%
EPOCH=065,Accuracy= 92.040%
EPOCH=066,Accuracy= 90.420%
EPOCH=067,Accuracy= 92.110%
EPOCH=068,Accuracy= 91.580%
EPOCH=069,Accuracy= 91.580%
EPOCH=070,Accuracy= 92.050%
EPOCH=071,Accuracy= 92.120%
EPOCH=072,Accuracy= 92.040%
EPOCH=073,Accuracy= 90.920%
EPOCH=074,Accuracy= 91.600%
EPOCH=075,Accuracy= 91.920%
EPOCH=076,Accuracy= 92.200%
EPOCH=077,Accuracy= 91.380%
EPOCH=078,Accuracy= 92.170%
EPOCH=079,Accuracy= 92.060%
EPOCH=080,Accuracy= 92.540%
EPOCH=081,Accuracy= 91.530%
EPOCH=082,Accuracy= 91.740%
EPOCH=083,Accuracy= 90.300%
EPOCH=084,Accuracy= 92.730%
EPOCH=085,Accuracy= 91.690%
EPOCH=086,Accuracy= 93.010%
EPOCH=087,Accuracy= 92.580%
EPOCH=088,Accuracy= 92.340%
EPOCH=089,Accuracy= 92.210%
EPOCH=090,Accuracy= 92.930%
EPOCH=091,Accuracy= 93.090%
EPOCH=092,Accuracy= 92.480%
EPOCH=093,Accuracy= 92.350%
EPOCH=094,Accuracy= 92.810%
EPOCH=095,Accuracy= 92.670%
EPOCH=096,Accuracy= 93.420%
EPOCH=097,Accuracy= 91.280%
EPOCH=098,Accuracy= 93.330%
EPOCH=099,Accuracy= 92.150%
EPOCH=100,Accuracy= 92.730%
EPOCH=101,Accuracy= 91.300%
EPOCH=102,Accuracy= 93.120%
EPOCH=103,Accuracy= 92.630%
EPOCH=104,Accuracy= 92.980%
EPOCH=105,Accuracy= 92.570%
EPOCH=106,Accuracy= 92.860%
EPOCH=107,Accuracy= 93.370%
EPOCH=108,Accuracy= 92.120%
EPOCH=109,Accuracy= 92.240%
EPOCH=110,Accuracy= 92.510%
