001  00001 |Loss: 2.355 | Acc: 9.375%
001  00002 |Loss: 2.344 | Acc: 8.594%
001  00003 |Loss: 2.335 | Acc: 9.115%
001  00004 |Loss: 2.323 | Acc: 10.156%
001  00005 |Loss: 2.315 | Acc: 10.156%
001  00006 |Loss: 2.303 | Acc: 10.417%
001  00007 |Loss: 2.305 | Acc: 10.714%
001  00008 |Loss: 2.297 | Acc: 11.816%
001  00009 |Loss: 2.299 | Acc: 12.153%
001  00010 |Loss: 2.300 | Acc: 12.109%
001  00011 |Loss: 2.296 | Acc: 12.358%
001  00012 |Loss: 2.275 | Acc: 13.411%
001  00013 |Loss: 2.257 | Acc: 14.303%
001  00014 |Loss: 2.252 | Acc: 14.676%
001  00015 |Loss: 2.250 | Acc: 15.052%
001  00016 |Loss: 2.238 | Acc: 15.430%
001  00017 |Loss: 2.226 | Acc: 15.809%
001  00018 |Loss: 2.225 | Acc: 16.016%
001  00019 |Loss: 2.212 | Acc: 16.612%
001  00020 |Loss: 2.204 | Acc: 17.188%
001  00021 |Loss: 2.196 | Acc: 17.522%
001  00022 |Loss: 2.196 | Acc: 17.827%
001  00023 |Loss: 2.187 | Acc: 18.037%
001  00024 |Loss: 2.183 | Acc: 18.327%
001  00025 |Loss: 2.169 | Acc: 19.062%
001  00026 |Loss: 2.160 | Acc: 19.321%
001  00027 |Loss: 2.154 | Acc: 19.473%
001  00028 |Loss: 2.148 | Acc: 19.643%
001  00029 |Loss: 2.146 | Acc: 19.423%
001  00030 |Loss: 2.140 | Acc: 19.792%
001  00031 |Loss: 2.141 | Acc: 19.556%
001  00032 |Loss: 2.143 | Acc: 19.507%
001  00033 |Loss: 2.134 | Acc: 19.697%
001  00034 |Loss: 2.127 | Acc: 19.968%
001  00035 |Loss: 2.113 | Acc: 20.513%
001  00036 |Loss: 2.104 | Acc: 20.920%
001  00037 |Loss: 2.101 | Acc: 21.263%
001  00038 |Loss: 2.095 | Acc: 21.423%
001  00039 |Loss: 2.097 | Acc: 21.575%
001  00040 |Loss: 2.088 | Acc: 21.875%
001  00041 |Loss: 2.081 | Acc: 22.275%
001  00042 |Loss: 2.079 | Acc: 22.414%
001  00043 |Loss: 2.071 | Acc: 22.711%
001  00044 |Loss: 2.066 | Acc: 22.781%
001  00045 |Loss: 2.059 | Acc: 23.073%
001  00046 |Loss: 2.057 | Acc: 23.115%
001  00047 |Loss: 2.053 | Acc: 23.138%
001  00048 |Loss: 2.048 | Acc: 23.291%
001  00049 |Loss: 2.042 | Acc: 23.565%
001  00050 |Loss: 2.041 | Acc: 23.688%
001  00051 |Loss: 2.034 | Acc: 24.004%
001  00052 |Loss: 2.026 | Acc: 24.354%
001  00053 |Loss: 2.023 | Acc: 24.587%
001  00054 |Loss: 2.028 | Acc: 24.494%
001  00055 |Loss: 2.024 | Acc: 24.673%
001  00056 |Loss: 2.028 | Acc: 24.609%
001  00057 |Loss: 2.030 | Acc: 24.411%
