001  00001 |Loss: 2.437 | Acc: 5.469%
001  00002 |Loss: 2.385 | Acc: 8.594%
001  00003 |Loss: 2.371 | Acc: 9.375%
001  00004 |Loss: 2.353 | Acc: 10.352%
001  00005 |Loss: 2.336 | Acc: 10.938%
001  00006 |Loss: 2.334 | Acc: 10.807%
001  00007 |Loss: 2.342 | Acc: 11.049%
001  00008 |Loss: 2.338 | Acc: 11.621%
001  00009 |Loss: 2.326 | Acc: 12.500%
001  00010 |Loss: 2.311 | Acc: 12.969%
001  00011 |Loss: 2.311 | Acc: 13.352%
001  00012 |Loss: 2.312 | Acc: 12.956%
001  00013 |Loss: 2.311 | Acc: 13.101%
001  00014 |Loss: 2.311 | Acc: 13.170%
001  00015 |Loss: 2.309 | Acc: 13.073%
001  00016 |Loss: 2.300 | Acc: 12.891%
001  00017 |Loss: 2.293 | Acc: 12.592%
001  00018 |Loss: 2.284 | Acc: 12.500%
001  00019 |Loss: 2.274 | Acc: 12.459%
001  00020 |Loss: 2.274 | Acc: 12.539%
001  00021 |Loss: 2.268 | Acc: 12.500%
001  00022 |Loss: 2.258 | Acc: 13.033%
001  00023 |Loss: 2.247 | Acc: 13.689%
001  00024 |Loss: 2.240 | Acc: 13.574%
001  00025 |Loss: 2.237 | Acc: 13.844%
001  00026 |Loss: 2.229 | Acc: 13.972%
001  00027 |Loss: 2.228 | Acc: 14.439%
001  00028 |Loss: 2.227 | Acc: 14.537%
001  00029 |Loss: 2.226 | Acc: 14.763%
001  00030 |Loss: 2.217 | Acc: 14.688%
001  00031 |Loss: 2.212 | Acc: 15.146%
001  00032 |Loss: 2.209 | Acc: 15.576%
001  00033 |Loss: 2.206 | Acc: 15.672%
001  00034 |Loss: 2.199 | Acc: 15.947%
001  00035 |Loss: 2.201 | Acc: 15.804%
001  00036 |Loss: 2.194 | Acc: 16.168%
001  00037 |Loss: 2.185 | Acc: 15.984%
001  00038 |Loss: 2.176 | Acc: 16.447%
001  00039 |Loss: 2.173 | Acc: 16.146%
001  00040 |Loss: 2.166 | Acc: 15.996%
001  00041 |Loss: 2.165 | Acc: 16.139%
001  00042 |Loss: 2.165 | Acc: 15.997%
001  00043 |Loss: 2.156 | Acc: 15.934%
001  00044 |Loss: 2.152 | Acc: 16.282%
001  00045 |Loss: 2.149 | Acc: 16.597%
001  00046 |Loss: 2.145 | Acc: 16.423%
001  00047 |Loss: 2.145 | Acc: 16.356%
001  00048 |Loss: 2.135 | Acc: 16.878%
001  00049 |Loss: 2.135 | Acc: 16.964%
001  00050 |Loss: 2.136 | Acc: 17.000%
001  00051 |Loss: 2.131 | Acc: 16.866%
001  00052 |Loss: 2.133 | Acc: 16.902%
001  00053 |Loss: 2.130 | Acc: 17.202%
001  00054 |Loss: 2.130 | Acc: 17.347%
001  00055 |Loss: 2.127 | Acc: 17.315%
001  00056 |Loss: 2.126 | Acc: 17.215%
001  00057 |Loss: 2.121 | Acc: 17.544%
001  00058 |Loss: 2.120 | Acc: 17.443%
001  00059 |Loss: 2.114 | Acc: 17.810%
001  00060 |Loss: 2.113 | Acc: 17.786%
001  00061 |Loss: 2.113 | Acc: 17.802%
001  00062 |Loss: 2.110 | Acc: 17.729%
001  00063 |Loss: 2.104 | Acc: 17.721%
001  00064 |Loss: 2.101 | Acc: 17.639%
001  00065 |Loss: 2.099 | Acc: 17.512%
001  00066 |Loss: 2.096 | Acc: 17.483%
001  00067 |Loss: 2.093 | Acc: 17.444%
001  00068 |Loss: 2.094 | Acc: 17.509%
001  00069 |Loss: 2.094 | Acc: 17.527%
001  00070 |Loss: 2.093 | Acc: 17.489%
001  00071 |Loss: 2.089 | Acc: 17.804%
001  00072 |Loss: 2.087 | Acc: 17.752%
001  00073 |Loss: 2.088 | Acc: 17.787%
001  00074 |Loss: 2.087 | Acc: 17.979%
001  00075 |Loss: 2.086 | Acc: 18.240%
001  00076 |Loss: 2.086 | Acc: 18.174%
001  00077 |Loss: 2.088 | Acc: 18.253%
001  00078 |Loss: 2.088 | Acc: 18.450%
001  00079 |Loss: 2.085 | Acc: 18.661%
001  00080 |Loss: 2.084 | Acc: 18.633%
001  00081 |Loss: 2.084 | Acc: 18.731%
001  00082 |Loss: 2.083 | Acc: 18.636%
001  00083 |Loss: 2.081 | Acc: 18.581%
001  00084 |Loss: 2.081 | Acc: 18.638%
001  00085 |Loss: 2.082 | Acc: 18.585%
001  00086 |Loss: 2.080 | Acc: 18.632%
001  00087 |Loss: 2.077 | Acc: 18.561%
001  00088 |Loss: 2.078 | Acc: 18.519%
001  00089 |Loss: 2.076 | Acc: 18.460%
001  00090 |Loss: 2.075 | Acc: 18.351%
001  00091 |Loss: 2.073 | Acc: 18.535%
001  00092 |Loss: 2.071 | Acc: 18.716%
001  00093 |Loss: 2.069 | Acc: 18.859%
001  00094 |Loss: 2.068 | Acc: 18.925%
001  00095 |Loss: 2.067 | Acc: 18.923%
001  00096 |Loss: 2.063 | Acc: 18.840%
001  00097 |Loss: 2.061 | Acc: 18.750%
001  00098 |Loss: 2.058 | Acc: 18.638%
001  00099 |Loss: 2.058 | Acc: 18.782%
001  00100 |Loss: 2.055 | Acc: 18.992%
001  00101 |Loss: 2.051 | Acc: 19.199%
001  00102 |Loss: 2.047 | Acc: 19.424%
001  00103 |Loss: 2.047 | Acc: 19.569%
001  00104 |Loss: 2.046 | Acc: 19.794%
001  00105 |Loss: 2.046 | Acc: 19.740%
001  00106 |Loss: 2.047 | Acc: 19.671%
001  00107 |Loss: 2.043 | Acc: 19.590%
001  00108 |Loss: 2.039 | Acc: 19.502%
001  00109 |Loss: 2.036 | Acc: 19.739%
001  00110 |Loss: 2.036 | Acc: 19.695%
001  00111 |Loss: 2.037 | Acc: 19.771%
001  00112 |Loss: 2.036 | Acc: 19.845%
001  00113 |Loss: 2.033 | Acc: 19.808%
001  00114 |Loss: 2.032 | Acc: 19.696%
001  00115 |Loss: 2.031 | Acc: 19.823%
001  00116 |Loss: 2.030 | Acc: 19.767%
001  00117 |Loss: 2.031 | Acc: 19.858%
001  00118 |Loss: 2.027 | Acc: 20.061%
001  00119 |Loss: 2.024 | Acc: 20.260%
001  00120 |Loss: 2.023 | Acc: 20.189%
001  00121 |Loss: 2.022 | Acc: 20.119%
001  00122 |Loss: 2.021 | Acc: 20.056%
001  00123 |Loss: 2.019 | Acc: 19.989%
001  00124 |Loss: 2.018 | Acc: 20.155%
001  00125 |Loss: 2.019 | Acc: 20.181%
001  00126 |Loss: 2.016 | Acc: 20.412%
001  00127 |Loss: 2.015 | Acc: 20.331%
001  00128 |Loss: 2.016 | Acc: 20.422%
001  00129 |Loss: 2.015 | Acc: 20.373%
001  00130 |Loss: 2.013 | Acc: 20.547%
001  00131 |Loss: 2.010 | Acc: 20.706%
001  00132 |Loss: 2.008 | Acc: 20.650%
001  00133 |Loss: 2.007 | Acc: 20.559%
001  00134 |Loss: 2.005 | Acc: 20.522%
001  00135 |Loss: 2.006 | Acc: 20.469%
001  00136 |Loss: 2.007 | Acc: 20.468%
001  00137 |Loss: 2.007 | Acc: 20.404%
001  00138 |Loss: 2.009 | Acc: 20.335%
001  00139 |Loss: 2.009 | Acc: 20.307%
001  00140 |Loss: 2.006 | Acc: 20.463%
001  00141 |Loss: 2.004 | Acc: 20.662%
001  00142 |Loss: 2.002 | Acc: 20.571%
001  00143 |Loss: 2.000 | Acc: 20.520%
001  00144 |Loss: 2.001 | Acc: 20.562%
001  00145 |Loss: 2.001 | Acc: 20.609%
001  00146 |Loss: 2.000 | Acc: 20.553%
001  00147 |Loss: 2.000 | Acc: 20.642%
001  00148 |Loss: 1.998 | Acc: 20.566%
001  00149 |Loss: 1.998 | Acc: 20.533%
001  00150 |Loss: 1.996 | Acc: 20.464%
001  00151 |Loss: 1.993 | Acc: 20.400%
001  00152 |Loss: 1.992 | Acc: 20.318%
001  00153 |Loss: 1.991 | Acc: 20.251%
001  00154 |Loss: 1.992 | Acc: 20.318%
001  00155 |Loss: 1.990 | Acc: 20.247%
001  00156 |Loss: 1.989 | Acc: 20.207%
001  00157 |Loss: 1.990 | Acc: 20.198%
001  00158 |Loss: 1.991 | Acc: 20.268%
001  00159 |Loss: 1.991 | Acc: 20.352%
001  00160 |Loss: 1.990 | Acc: 20.474%
001  00161 |Loss: 1.991 | Acc: 20.424%
001  00162 |Loss: 1.989 | Acc: 20.587%
001  00163 |Loss: 1.989 | Acc: 20.629%
001  00164 |Loss: 1.989 | Acc: 20.679%
001  00165 |Loss: 1.988 | Acc: 20.843%
001  00166 |Loss: 1.985 | Acc: 20.990%
001  00167 |Loss: 1.984 | Acc: 20.949%
001  00168 |Loss: 1.985 | Acc: 20.996%
001  00169 |Loss: 1.984 | Acc: 21.131%
001  00170 |Loss: 1.984 | Acc: 21.131%
001  00171 |Loss: 1.984 | Acc: 21.222%
001  00172 |Loss: 1.983 | Acc: 21.162%
001  00173 |Loss: 1.983 | Acc: 21.252%
001  00174 |Loss: 1.982 | Acc: 21.193%
001  00175 |Loss: 1.981 | Acc: 21.161%
001  00176 |Loss: 1.981 | Acc: 21.249%
001  00177 |Loss: 1.981 | Acc: 21.376%
001  00178 |Loss: 1.980 | Acc: 21.498%
001  00179 |Loss: 1.978 | Acc: 21.679%
001  00180 |Loss: 1.976 | Acc: 21.619%
001  00181 |Loss: 1.975 | Acc: 21.556%
001  00182 |Loss: 1.974 | Acc: 21.660%
001  00183 |Loss: 1.975 | Acc: 21.704%
001  00184 |Loss: 1.974 | Acc: 21.624%
001  00185 |Loss: 1.974 | Acc: 21.668%
001  00186 |Loss: 1.975 | Acc: 21.699%
001  00187 |Loss: 1.973 | Acc: 21.842%
001  00188 |Loss: 1.972 | Acc: 21.933%
001  00189 |Loss: 1.970 | Acc: 21.854%
001  00190 |Loss: 1.971 | Acc: 21.920%
001  00191 |Loss: 1.970 | Acc: 22.035%
001  00192 |Loss: 1.971 | Acc: 21.965%
001  00193 |Loss: 1.970 | Acc: 22.065%
001  00194 |Loss: 1.970 | Acc: 22.060%
001  00195 |Loss: 1.969 | Acc: 22.019%
001  00196 |Loss: 1.969 | Acc: 21.979%
001  00197 |Loss: 1.967 | Acc: 21.946%
001  00198 |Loss: 1.967 | Acc: 21.974%
001  00199 |Loss: 1.967 | Acc: 21.934%
001  00200 |Loss: 1.967 | Acc: 22.000%
001  00201 |Loss: 1.967 | Acc: 22.015%
001  00202 |Loss: 1.967 | Acc: 22.037%
001  00203 |Loss: 1.967 | Acc: 22.029%
001  00204 |Loss: 1.966 | Acc: 21.978%
001  00205 |Loss: 1.966 | Acc: 21.970%
001  00206 |Loss: 1.965 | Acc: 21.928%
001  00207 |Loss: 1.965 | Acc: 21.909%
001  00208 |Loss: 1.964 | Acc: 22.025%
001  00209 |Loss: 1.963 | Acc: 22.122%
001  00210 |Loss: 1.962 | Acc: 22.232%
001  00211 |Loss: 1.961 | Acc: 22.360%
001  00212 |Loss: 1.960 | Acc: 22.306%
001  00213 |Loss: 1.960 | Acc: 22.271%
001  00214 |Loss: 1.960 | Acc: 22.266%
001  00215 |Loss: 1.960 | Acc: 22.336%
001  00216 |Loss: 1.960 | Acc: 22.352%
001  00217 |Loss: 1.959 | Acc: 22.303%
001  00218 |Loss: 1.959 | Acc: 22.402%
001  00219 |Loss: 1.957 | Acc: 22.346%
001  00220 |Loss: 1.955 | Acc: 22.450%
001  00221 |Loss: 1.954 | Acc: 22.536%
001  00222 |Loss: 1.954 | Acc: 22.632%
001  00223 |Loss: 1.952 | Acc: 22.754%
001  00224 |Loss: 1.952 | Acc: 22.698%
001  00225 |Loss: 1.952 | Acc: 22.785%
001  00226 |Loss: 1.951 | Acc: 22.736%
001  00227 |Loss: 1.950 | Acc: 22.701%
001  00228 |Loss: 1.949 | Acc: 22.667%
001  00229 |Loss: 1.948 | Acc: 22.632%
001  00230 |Loss: 1.946 | Acc: 22.741%
001  00231 |Loss: 1.945 | Acc: 22.856%
001  00232 |Loss: 1.943 | Acc: 22.804%
001  00233 |Loss: 1.942 | Acc: 22.881%
001  00234 |Loss: 1.940 | Acc: 22.990%
001  00235 |Loss: 1.941 | Acc: 22.985%
001  00236 |Loss: 1.941 | Acc: 22.944%
001  00237 |Loss: 1.942 | Acc: 22.950%
001  00238 |Loss: 1.941 | Acc: 23.021%
001  00239 |Loss: 1.941 | Acc: 22.993%
001  00240 |Loss: 1.940 | Acc: 23.079%
001  00241 |Loss: 1.940 | Acc: 23.139%
001  00242 |Loss: 1.939 | Acc: 23.244%
001  00243 |Loss: 1.939 | Acc: 23.331%
001  00244 |Loss: 1.939 | Acc: 23.415%
001  00245 |Loss: 1.938 | Acc: 23.377%
001  00246 |Loss: 1.938 | Acc: 23.463%
001  00247 |Loss: 1.937 | Acc: 23.390%
001  00248 |Loss: 1.936 | Acc: 23.472%
001  00249 |Loss: 1.934 | Acc: 23.579%
001  00250 |Loss: 1.934 | Acc: 23.544%
001  00251 |Loss: 1.935 | Acc: 23.602%
001  00252 |Loss: 1.935 | Acc: 23.565%
001  00253 |Loss: 1.935 | Acc: 23.549%
001  00254 |Loss: 1.933 | Acc: 23.659%
001  00255 |Loss: 1.932 | Acc: 23.775%
001  00256 |Loss: 1.930 | Acc: 23.727%
001  00257 |Loss: 1.931 | Acc: 23.751%
001  00258 |Loss: 1.930 | Acc: 23.840%
001  00259 |Loss: 1.929 | Acc: 23.932%
001  00260 |Loss: 1.928 | Acc: 23.870%
001  00261 |Loss: 1.929 | Acc: 23.916%
001  00262 |Loss: 1.929 | Acc: 23.953%
001  00263 |Loss: 1.928 | Acc: 23.907%
001  00264 |Loss: 1.928 | Acc: 23.864%
001  00265 |Loss: 1.928 | Acc: 23.965%
001  00266 |Loss: 1.928 | Acc: 24.031%
001  00267 |Loss: 1.927 | Acc: 24.116%
001  00268 |Loss: 1.926 | Acc: 24.225%
001  00269 |Loss: 1.926 | Acc: 24.245%
001  00270 |Loss: 1.926 | Acc: 24.303%
001  00271 |Loss: 1.925 | Acc: 24.250%
001  00272 |Loss: 1.925 | Acc: 24.305%
001  00273 |Loss: 1.925 | Acc: 24.359%
001  00274 |Loss: 1.925 | Acc: 24.404%
001  00275 |Loss: 1.925 | Acc: 24.378%
001  00276 |Loss: 1.925 | Acc: 24.417%
001  00277 |Loss: 1.925 | Acc: 24.498%
001  00278 |Loss: 1.925 | Acc: 24.536%
001  00279 |Loss: 1.924 | Acc: 24.602%
001  00280 |Loss: 1.923 | Acc: 24.701%
001  00281 |Loss: 1.923 | Acc: 24.764%
001  00282 |Loss: 1.922 | Acc: 24.715%
001  00283 |Loss: 1.922 | Acc: 24.688%
001  00284 |Loss: 1.921 | Acc: 24.640%
001  00285 |Loss: 1.920 | Acc: 24.592%
001  00286 |Loss: 1.920 | Acc: 24.568%
001  00287 |Loss: 1.920 | Acc: 24.638%
001  00288 |Loss: 1.919 | Acc: 24.607%
001  00289 |Loss: 1.919 | Acc: 24.700%
001  00290 |Loss: 1.919 | Acc: 24.688%
001  00291 |Loss: 1.919 | Acc: 24.659%
001  00292 |Loss: 1.918 | Acc: 24.738%
001  00293 |Loss: 1.917 | Acc: 24.837%
001  00294 |Loss: 1.916 | Acc: 24.918%
001  00295 |Loss: 1.915 | Acc: 24.873%
001  00296 |Loss: 1.915 | Acc: 24.836%
001  00297 |Loss: 1.915 | Acc: 24.918%
001  00298 |Loss: 1.914 | Acc: 24.874%
001  00299 |Loss: 1.913 | Acc: 24.966%
001  00300 |Loss: 1.912 | Acc: 25.023%
001  00301 |Loss: 1.912 | Acc: 25.086%
001  00302 |Loss: 1.912 | Acc: 25.054%
001  00303 |Loss: 1.912 | Acc: 25.026%
001  00304 |Loss: 1.912 | Acc: 25.085%
001  00305 |Loss: 1.910 | Acc: 25.051%
001  00306 |Loss: 1.910 | Acc: 25.026%
001  00307 |Loss: 1.910 | Acc: 25.071%
001  00308 |Loss: 1.910 | Acc: 25.036%
001  00309 |Loss: 1.910 | Acc: 25.073%
001  00310 |Loss: 1.910 | Acc: 25.101%
001  00311 |Loss: 1.909 | Acc: 25.050%
001  00312 |Loss: 1.909 | Acc: 25.030%
001  00313 |Loss: 1.909 | Acc: 25.007%
001  00314 |Loss: 1.908 | Acc: 25.107%
001  00315 |Loss: 1.908 | Acc: 25.149%
001  00316 |Loss: 1.908 | Acc: 25.213%
001  00317 |Loss: 1.907 | Acc: 25.298%
001  00318 |Loss: 1.907 | Acc: 25.283%
001  00319 |Loss: 1.907 | Acc: 25.353%
001  00320 |Loss: 1.906 | Acc: 25.425%
001  00321 |Loss: 1.907 | Acc: 25.477%
001  00322 |Loss: 1.906 | Acc: 25.539%
001  00323 |Loss: 1.905 | Acc: 25.612%
001  00324 |Loss: 1.905 | Acc: 25.557%
001  00325 |Loss: 1.905 | Acc: 25.591%
001  00326 |Loss: 1.905 | Acc: 25.561%
001  00327 |Loss: 1.903 | Acc: 25.511%
001  00328 |Loss: 1.902 | Acc: 25.603%
001  00329 |Loss: 1.902 | Acc: 25.570%
001  00330 |Loss: 1.901 | Acc: 25.656%
001  00331 |Loss: 1.901 | Acc: 25.625%
001  00332 |Loss: 1.899 | Acc: 25.711%
001  00333 |Loss: 1.899 | Acc: 25.676%
001  00334 |Loss: 1.898 | Acc: 25.627%
001  00335 |Loss: 1.897 | Acc: 25.695%
001  00336 |Loss: 1.897 | Acc: 25.746%
001  00337 |Loss: 1.896 | Acc: 25.832%
001  00338 |Loss: 1.896 | Acc: 25.788%
001  00339 |Loss: 1.896 | Acc: 25.832%
